trip_ID,category
tour_id8gzpck76,2
tour_idow1zxkou,1
tour_idue7esfqz,1
tour_idnj3mjzpb,1
tour_ida3us5yk2,1
tour_id2qpfclyc,3
tour_idope4voz1,1
tour_iddyjku73v,2
tour_idlu2iemeg,1
tour_idw5htzhxs,2
tour_idk1bdp2w3,2
tour_idv0pkp6xz,2
tour_id9cuaatn3,3
tour_idip5dj7j8,2
tour_idtigx2yg3,1
tour_idqn54xcjb,2
tour_id7ne9w12t,2
tour_id987j1kl8,2
tour_idcw8guien,1
tour_idnwtdgecx,1
tour_idb9zgvnml,1
tour_idhy041qx1,3
tour_idax15uztz,3
tour_id5lahxrsf,2
tour_idajmecl6o,1
tour_id8c0xghj3,1
tour_id8v5sy8tb,1
tour_idvt8i5dd5,2
tour_iduj1vtjrv,1
tour_idbw5my5ga,1
tour_idxqlhttlz,3
tour_idpwk2txl1,2
tour_ido36lagz3,1
tour_idcb6zngb7,1
tour_idobhibo3n,2
tour_idcjey54wb,1
tour_idu0k6xrij,2
tour_id2hp9lcrf,2
tour_id4mmwnwdm,2
tour_idr6gbihn9,1
tour_idjs6tkbhr,1
tour_idyglsrdz9,1
tour_idh63q7w93,2
tour_idrcjabqej,3
tour_idjyll1uc3,3
tour_idwd2f0w8p,1
tour_idahm5vdbw,1
tour_idsi0xo4j7,2
tour_iddh9du2gq,1
tour_idqtpx6ph3,2
tour_ida49lgjru,2
tour_idhfxq85jd,1
tour_idklvy0gf0,2
tour_idqj9seh5n,2
tour_id4fi2gtql,3
tour_idz14zu84j,1
tour_idn78zbsl4,1
tour_idejb668pb,1
tour_id2jxu7jd7,2
tour_idnxjcfd93,1
tour_idvwv9ryuk,1
tour_idd0csx921,2
tour_id4kaotb95,2
tour_idzquqqnru,1
tour_idrl09vg3m,1
tour_idduw1i9mt,2
tour_idm3wtwwcg,2
tour_idi8um1uau,1
tour_id78fn6q5l,1
tour_id55guu804,1
tour_idkhqpuxuu,1
tour_ids0skzu6g,2
tour_idhjb9a02g,1
tour_idz32plc3e,2
tour_id4fn5iy2n,2
tour_idrg8t9q5r,1
tour_idxz6nhnbj,2
tour_id5m41j20c,1
tour_idr3l9zut3,2
tour_idtx6fbbhr,1
tour_idpyjkgic3,2
tour_id1frl9q23,1
tour_idfnlyf79h,1
tour_id171ntnop,2
tour_idz0o2kcg5,2
tour_idernn8vic,2
tour_idek8blvwf,2
tour_ids39m20e6,2
tour_idcwuqsjna,2
tour_id01mm1csh,1
tour_idyguobzhj,1
tour_id056efenf,2
tour_iddlqa2v2j,1
tour_idp0fgece5,2
tour_id4trpn35m,1
tour_ids3qyn9av,1
tour_idrxq7tq6y,2
tour_idozwurs5e,2
tour_idcq0olegp,2
tour_idlf69injr,1
tour_id95t80ggn,1
tour_id52162xn5,1
tour_id83gg3rkd,3
tour_idhjex3gdx,2
tour_id64te4ok9,2
tour_idlg82wfnx,2
tour_ideoubok42,2
tour_idq0ew8lpb,2
tour_id8kz8hiw3,1
tour_idlpucam3m,1
tour_idwkxlwwxd,2
tour_id5tu7xd37,2
tour_idg4a82pwu,1
tour_id8pyu5cw0,3
tour_id913dmb9e,2
tour_idlf91vxdq,2
tour_ide9bw7q3m,3
tour_id0zcye0ie,2
tour_idxq5qb8pk,2
tour_idoe06gv33,1
tour_id0m7h5w4c,2
tour_id1ilu4x6y,1
tour_idfd1cfnvc,2
tour_idp65x1o2p,1
tour_idbyre3ggu,1
tour_idwge1ywnm,2
tour_idbaih9akd,3
tour_idpiyziv6c,1
tour_idfa67aubw,1
tour_idut40p3ju,3
tour_id3gyi43i3,2
tour_ido70diyo7,2
tour_idj7p8lyl5,1
tour_idc1yqv6mc,2
tour_idv5argz4a,2
tour_id1kcictxh,1
tour_id8hm33zjn,1
tour_id3rgu3jqg,2
tour_idlmtiby55,2
tour_id19zcr8fx,1
tour_id5q0rwtpg,2
tour_idp9fl4flv,1
tour_idqczk07hz,1
tour_idqy5zkxj2,2
tour_idwk0x8q1c,1
tour_idnpfk68kj,2
tour_idqxqibyza,2
tour_id75yvct80,1
tour_idkopni10y,1
tour_id6ipept16,1
tour_idfxwf6e6c,2
tour_idit88z334,3
tour_iddoa8albk,2
tour_idbq8bfgve,1
tour_id0pz8n5j8,2
tour_id9v0y5d4s,1
tour_idcs8sqnxo,2
tour_iduso1eu3z,2
tour_idoem5jfs5,1
tour_idd36qyjf7,3
tour_id97qte19y,2
tour_idpumnx9zf,1
tour_idw3ymkfn7,3
tour_id3cjknlah,1
tour_idm81th8pf,2
tour_idam4wgs43,2
tour_idlpgl3ddh,2
tour_idq0gvhahv,1
tour_idduaevqff,1
tour_idc0u2xk32,1
tour_idp2aapit9,1
tour_id6a10rjep,2
tour_idk1q9exyb,2
tour_idg4a1qpr5,3
tour_idjk8lkndp,2
tour_ide4arnhj4,3
tour_idu8w1fiin,1
tour_id2eroexzk,2
tour_id0hvkpfl7,1
tour_idzmdj54pt,1
tour_ido48mujc6,2
tour_idbzywzp7k,1
tour_idtmxp9tml,2
tour_idyl0xzvzm,2
tour_idiprd1gg8,1
tour_id3ftuxb1v,2
tour_idd5jhapi1,2
tour_idloniyam4,1
tour_idvloxjl94,1
tour_idh2e49nu6,2
tour_iduao754bo,3
tour_iduu9gknf7,2
tour_idnsmuiacp,1
tour_id0mpg02k5,3
tour_idezym17r6,1
tour_id41gmw10l,1
tour_idgippbuxo,3
tour_iddwofaiwz,1
tour_id9jl7d09x,1
tour_idtgvtcvrb,2
tour_id084nxmp2,1
tour_idzmbi1w9s,1
tour_idkmvta8wi,2
tour_idl43q6fm0,1
tour_idtogw0rdh,1
tour_idg13vvwja,1
tour_id8sb7ckdr,1
tour_id53bisqhg,1
tour_idkwbpuqmg,2
tour_idpfby4aqu,1
tour_ideagtpy5g,1
tour_idmn7kk2rn,1
tour_id31yae2a4,1
tour_idhhsi0lbt,2
tour_idxrhlywqy,1
tour_idmi06pfx2,1
tour_iddacv2dkf,2
tour_idhmqb7zxe,2
tour_idv2qb15ee,2
tour_idexerjs8z,2
tour_idqx3tihdb,3
tour_idm37jcb5z,1
tour_id08qpof1u,2
tour_idny9wpx4z,1
tour_idcsudhn3z,2
tour_idsrx4zf6s,3
tour_idlfx1qh76,2
tour_idsfavfcly,1
tour_idwfctwdiv,2
tour_id9z2ofz1x,3
tour_idhy7o3cgg,1
tour_idi72d9rb0,2
tour_idoekoxo48,2
tour_idad4fmupz,2
tour_idnvnesb05,3
tour_ide7ryr4zj,2
tour_id57imcvvi,1
tour_idh9rwa9sm,2
tour_id7xt87ji8,2
tour_idgpasotez,2
tour_idh0qsadsa,1
tour_idv3obh2b1,1
tour_idyznxr6c6,2
tour_id1d1a02yt,1
tour_idlbecvptm,2
tour_idjdxcwq0f,1
tour_id7lemmrrf,2
tour_idlegqmvoq,3
tour_idfsru85bm,2
tour_id0gt6cllr,3
tour_id7526ng9r,3
tour_idgf2lqtof,1
tour_idaxoj0ff6,1
tour_idc6gex3v4,3
tour_idhrhff6dv,2
tour_idp5mak7pi,1
tour_id9f2bidur,1
tour_idawb7p4c4,3
tour_idemwfr8mu,1
tour_idq6s3lw2o,1
tour_idq2g0nuqz,1
tour_idyu3se93v,3
tour_idz1o4xj89,2
tour_idht5ljt49,2
tour_idvv9q29tw,2
tour_idqr767hng,2
tour_id3uwwp763,3
tour_idjz6ytnib,1
tour_idp6dg8pcr,2
tour_idb9i90iay,1
tour_idr019yhca,1
tour_iddpp8ug18,2
tour_ide5izfd5u,2
tour_ideacd8ny5,1
tour_iddk61ikfw,1
tour_idjwpm628x,2
tour_idtashfnya,1
tour_idzoy374jl,1
tour_idoe76lscn,1
tour_idkjnnct5v,3
tour_iddeix9vrs,1
tour_idwq8rvmob,1
tour_idlkklhal5,1
tour_idz0nsuul2,2
tour_idgys0lg1k,2
tour_id3lzwgxth,1
tour_id0tjm2vke,1
tour_idkxtgbjcz,1
tour_idhn9hjrlc,1
tour_idvko0frmx,1
tour_idhjgcvy67,2
tour_idzd9xqz2c,1
tour_idyf2henie,2
tour_idd2zb1adr,1
tour_id46q0pc99,2
tour_id838zs1ag,1
tour_idoy3lff3e,2
tour_id73kiadvu,1
tour_idgnwoerqr,2
tour_idlvozijqg,1
tour_ideb844oql,1
tour_idfwyxpmfo,2
tour_id781ar2rf,2
tour_idccwfi6t5,1
tour_idfkmi0efh,1
tour_idf5bvd8rm,2
tour_idj4elddjr,1
tour_idlsxmpgup,3
tour_ide8a2ug2y,1
tour_idm2zlrq33,2
tour_idu3570eum,3
tour_idnihm18ju,1
tour_idm5hcxdla,2
tour_idp7d7xq3i,2
tour_ideqbtksf4,2
tour_idss459tij,2
tour_idrk09ldwd,2
tour_idfnik7w0a,2
tour_id106vi5or,3
tour_idj44bnkns,2
tour_idu7x8c52n,1
tour_idfmrbdwkz,1
tour_id18ci4odd,1
tour_id6seq7i5m,1
tour_idxwg0g76q,2
tour_idoq6ophsv,1
tour_idktbysqup,2
tour_id6k6mimle,1
tour_idft4t23gb,2
tour_idd7gew8gn,1
tour_id5eteu7dc,2
tour_idenyl6gb4,2
tour_idauebeccn,1
tour_idmi8bc5n1,1
tour_iduj5igk8e,1
tour_idpl2d3ide,3
tour_idt4n2pqsj,2
tour_id9i7sfclq,1
tour_idw8ycseh7,2
tour_idsp6zreul,2
tour_ide7fd2nio,3
tour_idxtpskxqp,2
tour_idsh894424,1
tour_idoas89huq,2
tour_idcdic95be,1
tour_id8q3yw7q3,2
tour_idqhq4uiyl,2
tour_idyy5lewch,2
tour_id2xba7i4n,1
tour_idxr025c73,2
tour_id2q879di3,2
tour_id1cu4cp6a,3
tour_idcm9xub3h,1
tour_idb6akl1xk,2
tour_idcmejlq5s,1
tour_id0m4yc3lv,2
tour_idsev95icg,1
tour_idrwg6pc4h,1
tour_idnkugosii,2
tour_idke98399a,3
tour_idj4bhujdv,1
tour_idi9y5qsk9,1
tour_idn3a0cbk1,1
tour_id2aj2gape,2
tour_idhdwd86rg,1
tour_id0qbhjqmc,2
tour_id2ghdufkr,2
tour_idue4j0kl1,2
tour_idnmuyk7xo,1
tour_id1bkzwljy,1
tour_idtz48caeu,2
tour_id32wcvi1w,1
tour_idbfzx8be1,2
tour_idhq1212k8,1
tour_idmop6w5hz,2
tour_idbiivz9rx,2
tour_idzxp8njdj,1
tour_idrbh0nkz1,1
tour_idpv0amj3c,1
tour_idjcsnz0fm,2
tour_ide76l2ii3,2
tour_idyu9nsga5,1
tour_idrenx5dra,1
tour_idpbu2ugv6,2
tour_idsufjg7gx,3
tour_idg23uaz6c,2
tour_iddq7mvrdk,2
tour_idaegfnoi1,2
tour_idh5m5z3n7,2
tour_id3ypkzf51,2
tour_id3du4mcn2,1
tour_idve465gcs,2
tour_id9iyf8unb,1
tour_ids0ponv0s,3
tour_id8v2krng2,1
tour_idvzcawzba,3
tour_idxcp6x5ro,2
tour_idkyc6r3rf,2
tour_idjjcf4x2g,2
tour_id5e2kmhfm,1
tour_id3jr8fmm1,1
tour_idg0w256co,1
tour_idwm2yayj0,1
tour_idcbeirwuy,2
tour_idfhwtbour,2
tour_id3njip0qm,1
tour_id4iofxp2p,1
tour_id24ett1in,2
tour_idb9qpbsta,1
tour_id4dp4uj7v,1
tour_id2ajs4yyr,1
tour_idmqfok1rs,1
tour_id0h1bv1i3,3
tour_idtsihbhnz,1
tour_idq8k2x04i,3
tour_idlqwiawmu,3
tour_idqgkkcm1g,1
tour_idm9zgcxvr,2
tour_idmsevjs6i,3
tour_id45y83fun,1
tour_idu0agq835,2
tour_idq0wq70o1,2
tour_id5hrc5l9a,3
tour_idv55shefg,3
tour_idszck7s2q,1
tour_idav80n8xu,1
tour_idon9ff3jp,1
tour_idsxkr7dne,3
tour_id4nm1kax8,2
tour_id0wgn6y7j,1
tour_id2pcbrugv,2
tour_id0vflmp39,2
tour_idampo29ot,2
tour_id0kys8gls,2
tour_idanm4viq1,1
tour_idd3jgzx23,1
tour_idi5ftc3kc,1
tour_idq4c4kfzb,1
tour_id6j0rdvyx,2
tour_idtfk47z65,1
tour_idxtdz2yiv,2
tour_id4n6op6a7,1
tour_id6wmnn8wk,1
tour_idl1capg9x,1
tour_id8non9b05,2
tour_idy3lrlddv,1
tour_idgnvqk6xd,2
tour_idnnzsem2e,3
tour_idtvdz6oh9,3
tour_idbw7q3yml,1
tour_id24pnseb0,2
tour_idhij8baid,2
tour_id8qu7r9l0,1
tour_idogrfidus,1
tour_idtocsjxi0,2
tour_idkm8uw6x7,1
tour_idce721rgf,2
tour_idnlx1sc9e,3
tour_idkpkgmlq9,1
tour_idhf3esjlb,1
tour_idxr13ncyj,1
tour_idwhsrpwjx,3
tour_id3zqro4fr,1
tour_idt5mbjuej,2
tour_idji3kpg40,2
tour_idngeweobg,3
tour_id6tka7fdh,2
tour_idux70jvxp,1
tour_id14l0qlv4,2
tour_idygg80zwh,1
tour_idcgmdm1d0,2
tour_id9ayr6mvt,2
tour_idudmehv2c,1
tour_idyrrcrjnr,1
tour_idpsk4qimg,1
tour_id9pji88ma,1
tour_id2l6pu9g8,3
tour_id9l0lg7z0,1
tour_id2l2ilopd,1
tour_idlw83iz7p,2
tour_id1y3nblgb,1
tour_idi1bh14gh,2
tour_id80qnr9ku,1
tour_iduuhpd9j4,1
tour_idp8es1r7y,2
tour_idr52ma1us,1
tour_id2v89phq9,2
tour_idfp1akgl8,1
tour_id09db4ja0,1
tour_iddik7l7xs,1
tour_idisxs30v3,2
tour_idb970i9hs,1
tour_idirm3fnn0,2
tour_idcdnn5y8c,1
tour_idp95p50hx,1
tour_idpgkdv7lb,2
tour_idqcwsyhwp,1
tour_idewr6tvmc,1
tour_id4bbqsi6h,1
tour_id6d1ume96,1
tour_iddaefcofi,1
tour_id8o1ywpi2,3
tour_idx358ak3g,1
tour_idqq6r0qiw,2
tour_idhu93nz26,1
tour_idrmtj9jmn,3
tour_id2q8iio1p,2
tour_idvhqeh5ph,1
tour_idf2ews5e8,1
tour_idt9t2de9b,1
tour_idlt7b2x23,2
tour_idmejfxc9l,2
tour_idsgowxjfi,1
tour_idifpom3oy,2
tour_id05x9c6da,1
tour_id4i62hwun,2
tour_ide4lxrqdi,1
tour_idsxztqiko,1
tour_idlr2q029l,1
tour_idyjztiph1,2
tour_idihwfmd66,2
tour_idaa4jhjp7,3
tour_idtqfr611x,2
tour_id69rn8upa,1
tour_id6kusm1gh,2
tour_idl5mqn4m1,2
tour_id9c2e8rgc,1
tour_idyvq832ht,2
tour_idrigt9iqc,1
tour_idofiqj44o,2
tour_id59ihiom5,2
tour_iddw2xw5l9,2
tour_idoaubdfj0,1
tour_idsekxyn39,2
tour_ido6l34vl0,1
tour_ide56tw13g,2
tour_idou08u8sv,2
tour_iddn2rbpfv,3
tour_id5shyxj2h,2
tour_idi0rm496c,1
tour_idkknc0b4b,1
tour_idpfec3pkc,1
tour_id59qhakx2,1
tour_idc9ykibvx,1
tour_idgjzl6udk,1
tour_idwfgh8d0d,1
tour_id7x3v6pfl,1
tour_idle93etb8,2
tour_idd7ivkj1s,1
tour_iduarvsa0v,2
tour_idja4bwqgj,1
tour_idaq0m55sd,1
tour_id7kh43w6j,1
tour_idg6o5x3md,1
tour_idnuvf394i,2
tour_idphwi0kpl,1
tour_idxf2ln3o2,1
tour_id9s502yec,2
tour_idecxl6qvk,2
tour_id4k4st3xy,3
tour_idnp5myvgl,1
tour_iddyfhzs23,2
tour_idasky8av0,2
tour_idwf2vpwxt,2
tour_id7k66umx3,2
tour_idazb3l4ar,1
tour_id0wrrkw1t,3
tour_idgzmurkon,2
tour_idlt0j1pa8,1
tour_idc6t86e6o,1
tour_idfxlz40ev,1
tour_id12dhrbue,2
tour_idebceh7kw,2
tour_idaxi2xuwv,2
tour_idffa1x3nb,1
tour_id6ffp39yd,2
tour_idwwt1b4zc,2
tour_id3yz4bnhr,1
tour_idcsfxzzfo,2
tour_idwhq39drz,3
tour_id89aet62s,2
tour_idahairxnq,3
tour_idbpgdxnzf,2
tour_idjeo92xgi,1
tour_idixkd3ls9,1
tour_idat8p8wb5,1
tour_id84sd8oee,2
tour_idihpjj1f3,2
tour_idi5a69wm7,2
tour_id8mej23mk,1
tour_id2po8qg3x,2
tour_idzayldcqa,1
tour_idqxoh34ce,2
tour_ids868kgi7,2
tour_idpxl2i9az,1
tour_idp4qxp2mf,2
tour_idgi66d85z,2
tour_id4jaq54k1,1
